@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
173,212,0,184,173,0.515406,1,0.535354,1,0.464646,0.697368,0.695958,1.436869,0.001074
174,212,0,183,174,0.512605,1,0.536709,1,0.463291,0.698517,0.6942,1.440506,0.001078
175,212,0,182,175,0.509804,1,0.538071,1,0.461929,0.69967,0.692443,1.444162,0.001115
176,212,0,181,176,0.507003,1,0.53944,1,0.46056,0.700826,0.690685,1.447837,0.001159
177,212,0,180,177,0.504202,1,0.540816,1,0.459184,0.701987,0.688928,1.451531,0.001191
178,212,0,179,178,0.501401,1,0.542199,1,0.457801,0.703151,0.68717,1.455243,0.00124
179,212,0,178,179,0.498599,1,0.54359,1,0.45641,0.704319,0.685413,1.458974,0.00124
180,212,0,177,180,0.495798,1,0.544987,1,0.455013,0.705491,0.683656,1.462725,0.001248
181,212,0,176,181,0.492997,1,0.546392,1,0.453608,0.706667,0.681898,1.466495,0.001265
182,212,0,175,182,0.490196,1,0.547804,1,0.452196,0.707846,0.680141,1.470284,0.001288
183,212,0,174,183,0.487395,1,0.549223,1,0.450777,0.70903,0.678383,1.474093,0.001311
184,212,0,173,184,0.484594,1,0.550649,1,0.449351,0.710218,0.676626,1.477922,0.001317
185,212,0,172,185,0.481793,1,0.552083,1,0.447917,0.711409,0.674868,1.481771,0.001362
186,212,0,171,186,0.478992,1,0.553525,1,0.446475,0.712605,0.673111,1.48564,0.001363
187,212,0,170,187,0.47619,1,0.554974,1,0.445026,0.713805,0.671353,1.489529,0.001425
188,212,0,169,188,0.473389,1,0.55643,1,0.44357,0.715008,0.669596,1.493438,0.001449
189,212,0,168,189,0.470588,1,0.557895,1,0.442105,0.716216,0.667838,1.497368,0.001499
190,212,0,167,190,0.467787,1,0.559367,1,0.440633,0.717428,0.666081,1.501319,0.001514
191,212,0,166,191,0.464986,1,0.560847,1,0.439153,0.718644,0.664323,1.505291,0.001589
192,212,0,165,192,0.462185,1,0.562334,1,0.437666,0.719864,0.662566,1.509284,0.001618
193,212,0,164,193,0.459384,1,0.56383,1,0.43617,0.721088,0.660808,1.513298,0.00162
194,212,0,163,194,0.456583,1,0.565333,1,0.434667,0.722317,0.659051,1.517333,0.001641
195,212,0,162,195,0.453782,1,0.566845,1,0.433155,0.723549,0.657293,1.52139,0.001643
196,212,0,161,196,0.45098,1,0.568365,1,0.431635,0.724786,0.655536,1.525469,0.001645
197,212,0,160,197,0.448179,1,0.569892,1,0.430108,0.726027,0.653779,1.52957,0.001657
198,212,0,159,198,0.445378,1,0.571429,1,0.428571,0.727273,0.652021,1.533693,0.001669
199,212,0,158,199,0.442577,1,0.572973,1,0.427027,0.728522,0.650264,1.537838,0.00168
200,212,0,157,200,0.439776,1,0.574526,1,0.425474,0.729776,0.648506,1.542005,0.001739
201,212,0,156,201,0.436975,1,0.576087,1,0.423913,0.731034,0.646749,1.546196,0.00175
202,212,0,155,202,0.434174,1,0.577657,1,0.422343,0.732297,0.644991,1.550409,0.001812
203,212,0,154,203,0.431373,1,0.579235,1,0.420765,0.733564,0.643234,1.554645,0.001855
204,212,0,153,204,0.428571,1,0.580822,1,0.419178,0.734835,0.641476,1.558904,0.001865
205,212,0,152,205,0.42577,1,0.582418,1,0.417582,0.736111,0.639719,1.563187,0.001875
206,212,0,151,206,0.422969,1,0.584022,1,0.415978,0.737391,0.637961,1.567493,0.001937
207,212,0,150,207,0.420168,1,0.585635,1,0.414365,0.738676,0.636204,1.571823,0.002062
208,212,0,149,208,0.417367,1,0.587258,1,0.412742,0.739965,0.634446,1.576177,0.002073
209,212,0,148,209,0.414566,1,0.588889,1,0.411111,0.741259,0.632689,1.580556,0.002122
210,212,0,147,210,0.411765,1,0.590529,1,0.409471,0.742557,0.630931,1.584958,0.002161
211,212,0,146,211,0.408964,1,0.592179,1,0.407821,0.74386,0.629174,1.589385,0.002375
212,212,0,145,212,0.406162,1,0.593838,1,0.406162,0.745167,0.627417,1.593838,0.002456
213,212,0,144,213,0.403361,1,0.595506,1,0.404494,0.746479,0.625659,1.598315,0.002469
214,212,0,143,214,0.40056,1,0.597183,1,0.402817,0.747795,0.623902,1.602817,0.002537
215,212,0,142,215,0.397759,1,0.59887,1,0.40113,0.749117,0.622144,1.607345,0.002676
216,212,0,141,216,0.394958,1,0.600567,1,0.399433,0.750442,0.620387,1.611898,0.002777
217,212,0,140,217,0.392157,1,0.602273,1,0.397727,0.751773,0.618629,1.616477,0.002808
218,212,0,139,218,0.389356,1,0.603989,1,0.396011,0.753108,0.616872,1.621083,0.002881
219,212,0,138,219,0.386555,1,0.605714,1,0.394286,0.754448,0.615114,1.625714,0.00291
220,212,0,137,220,0.383754,1,0.60745,1,0.39255,0.755793,0.613357,1.630372,0.002968
221,212,0,136,221,0.380952,1,0.609195,1,0.390805,0.757143,0.611599,1.635057,0.003002
222,212,0,135,222,0.378151,1,0.610951,1,0.389049,0.758497,0.609842,1.639769,0.003007
223,212,0,134,223,0.37535,1,0.612717,1,0.387283,0.759857,0.608084,1.644509,0.003281
224,212,0,133,224,0.372549,1,0.614493,1,0.385507,0.761221,0.606327,1.649275,0.003549
225,212,0,132,225,0.369748,1,0.616279,1,0.383721,0.76259,0.604569,1.65407,0.003686
226,212,0,131,226,0.366947,1,0.618076,1,0.381924,0.763964,0.602812,1.658892,0.003853
227,212,0,130,227,0.364146,1,0.619883,1,0.380117,0.765343,0.601054,1.663743,0.003862
228,212,0,129,228,0.361345,1,0.621701,1,0.378299,0.766727,0.599297,1.668622,0.003888
229,212,0,128,229,0.358543,1,0.623529,1,0.376471,0.768116,0.59754,1.673529,0.003905
230,212,0,127,230,0.355742,1,0.625369,1,0.374631,0.76951,0.595782,1.678466,0.004385
231,212,0,126,231,0.352941,1,0.627219,1,0.372781,0.770909,0.594025,1.683432,0.00455
232,212,0,125,232,0.35014,1,0.62908,1,0.37092,0.772313,0.592267,1.688427,0.004778
233,212,0,124,233,0.347339,1,0.630952,1,0.369048,0.773723,0.59051,1.693452,0.004844
234,212,0,123,234,0.344538,1,0.632836,1,0.367164,0.775137,0.588752,1.698507,0.004845
235,212,0,122,235,0.341737,1,0.634731,1,0.365269,0.776557,0.586995,1.703593,0.004878
236,212,0,121,236,0.338936,1,0.636637,1,0.363363,0.777982,0.585237,1.708709,0.004933
237,212,0,120,237,0.336134,1,0.638554,1,0.361446,0.779412,0.58348,1.713855,0.005086
238,212,0,119,238,0.333333,1,0.640483,1,0.359517,0.780847,0.581722,1.719033,0.005212
239,212,0,118,239,0.330532,1,0.642424,1,0.357576,0.782288,0.579965,1.724242,0.005225
240,212,0,117,240,0.327731,1,0.644377,1,0.355623,0.783734,0.578207,1.729483,0.005693
241,212,0,116,241,0.32493,1,0.646341,1,0.353659,0.785185,0.57645,1.734756,0.005704
242,212,0,115,242,0.322129,1,0.648318,1,0.351682,0.786642,0.574692,1.740061,0.005727
243,212,0,114,243,0.319328,1,0.650307,1,0.349693,0.788104,0.572935,1.745399,0.005966
244,212,0,113,244,0.316527,1,0.652308,1,0.347692,0.789572,0.571178,1.750769,0.006151
245,212,0,112,245,0.313725,1,0.654321,1,0.345679,0.791045,0.56942,1.756173,0.006274
246,212,0,111,246,0.310924,1,0.656347,1,0.343653,0.792523,0.567663,1.76161,0.006433
247,212,0,110,247,0.308123,1,0.658385,1,0.341615,0.794007,0.565905,1.767081,0.006815
248,212,0,109,248,0.305322,1,0.660436,1,0.339564,0.795497,0.564148,1.772586,0.006947
249,212,0,108,249,0.302521,1,0.6625,1,0.3375,0.796992,0.56239,1.778125,0.006996
250,212,0,107,250,0.29972,1,0.664577,1,0.335423,0.798493,0.560633,1.783699,0.007143
251,212,0,106,251,0.296919,1,0.666667,1,0.333333,0.8,0.558875,1.789308,0.007368
252,212,0,105,252,0.294118,1,0.66877,1,0.33123,0.801512,0.557118,1.794953,0.007619
253,212,0,104,253,0.291317,1,0.670886,1,0.329114,0.80303,0.55536,1.800633,0.007944
254,212,0,103,254,0.288515,1,0.673016,1,0.326984,0.804554,0.553603,1.806349,0.008796
255,212,0,102,255,0.285714,1,0.675159,1,0.324841,0.806084,0.551845,1.812102,0.009258
256,212,0,101,256,0.282913,1,0.677316,1,0.322684,0.807619,0.550088,1.817891,0.009518
257,211,1,101,256,0.282913,0.995283,0.676282,0.995283,0.323718,0.805344,0.54833,1.815116,0.009651
258,211,1,100,257,0.280112,0.995283,0.678457,0.995283,0.321543,0.806883,0.546573,1.820952,0.009832
259,211,1,99,258,0.277311,0.995283,0.680645,0.995283,0.319355,0.808429,0.544815,1.826826,0.010509
260,211,1,98,259,0.27451,0.995283,0.682848,0.995283,0.317152,0.809981,0.543058,1.832738,0.011311
261,211,1,97,260,0.271709,0.995283,0.685065,0.995283,0.314935,0.811538,0.541301,1.838688,0.011404
262,211,1,96,261,0.268908,0.995283,0.687296,0.995283,0.312704,0.813102,0.539543,1.844678,0.011619
263,211,1,95,262,0.266106,0.995283,0.689542,0.995283,0.310458,0.814672,0.537786,1.850706,0.012215
264,211,1,94,263,0.263305,0.995283,0.691803,0.995283,0.308197,0.816248,0.536028,1.856774,0.012219
265,211,1,93,264,0.260504,0.995283,0.694079,0.995283,0.305921,0.817829,0.534271,1.862882,0.012297
266,211,1,92,265,0.257703,0.995283,0.69637,0.995283,0.30363,0.819417,0.532513,1.86903,0.013036
